"country","Date","flu_cases","dengue_cases","life_expectancy"
Bolivia,"2006-04-09","431","0.045",
Norway,"2003-02-02",NA,,
South Africa,"2015-01-18","2120",,
France,"2014-06-22","2",,
Ukraine,"2013-03-24","576",,
Hungary,"2013-01-06","70",,
Hungary,"2006-12-10","63",,
France,"2014-03-02","95",,
Paraguay,"2005-05-01",NA,,
Canada,"2003-06-08",NA,,
Canada,"2009-12-13","2077",,
Canada,"2015-04-12","1782",,
Russia,"2006-01-22","313",,
Canada,"2003-08-17",NA,,
France,"2013-10-06","30",,
South Africa,"2010-08-29","3106",,
Austria,"2014-07-06","577",,
Hungary,"2009-05-03","63",,
Hungary,"2010-02-28","46",,
Romania,"2009-06-14","628",,
Switzerland,"2008-08-31","13",,
Belgium,"2010-06-06","16",,
Romania,"2010-12-19","675",,
Japan,"2011-02-13","565",,
Uruguay,"2012-12-30","60",,
Germany,"2008-05-04","585",,
United States,"2007-09-30","1180",,
Bulgaria,"2013-09-29","262",,
Peru,"2014-09-14","143",,
Bulgaria,"2013-10-20","363",,
Australia,"2013-02-03","144",,
Paraguay,"2011-05-15","212",,
Ukraine,"2008-08-31","287",,
Austria,"2013-08-25","538",,
Australia,"2007-08-05","2680",,
Sweden,"2010-03-14","3",,
New Zealand,"2009-06-21","159",,
Canada,"2004-07-11","663",,
Bulgaria,"2014-06-08","226",,
Hungary,"2011-05-29","28",,
Austria,"2014-12-14","1436",,
Netherlands,"2014-08-17","19",,
Mexico,"2012-11-11","1434","0.231",
Uruguay,"2015-04-26","117",,
New Zealand,"2011-10-16","34",,
Spain,"2006-11-12","38",,
Bulgaria,"2010-01-03","770",,
Hungary,"2009-04-05","79",,
Norway,"2003-07-20",NA,,
Chile,"2006-03-19","6",,
Switzerland,"2013-03-24","89",,
Mexico,"2008-02-17","1699","0.064",
Sweden,"2013-06-02","2",,
Hungary,"2008-10-12","65",,
United States,"2005-07-03","711",,
Chile,"2003-10-19","1",,
Russia,"2009-01-04","499",,
Austria,"2007-01-21","1070",,
Germany,"2005-10-16","1169",,
Russia,"2004-08-08",NA,,
Sweden,"2014-03-09","9",,
Paraguay,"2005-07-24","408",,
Germany,"2005-01-09","1104",,
United States,"2013-05-19","1165",,
Brazil,"2008-08-24","255","0.029",
Sweden,"2004-03-07",NA,,
Mexico,"2005-04-03","981","0.035",
Russia,"2011-09-25","538",,
Brazil,"2015-05-24","287","0.383",
Austria,"2014-11-23","1246",,
Poland,"2014-05-18","17",,
Poland,"2013-02-10","78",,
Peru,"2005-04-24","299",,
United States,"2010-03-21","1511",,
Sweden,"2009-05-24","2",,
Bulgaria,"2012-10-14","268",,
Norway,"2004-07-18",NA,,
South Africa,"2006-11-05","2125",,
Mexico,"2006-12-31","1617","0.058",
Austria,"2004-05-16","425",,
Mexico,"2003-05-04",NA,"0.071",
Austria,"2015-02-08","2972",,
Peru,"2013-12-22","105",,
Ukraine,"2003-03-09",NA,,
Poland,"2002-12-29",NA,,
Bolivia,"2013-04-21","211","0.018",
Mexico,"2014-12-07","1848","0.167",
Belgium,"2010-07-25","9",,
Poland,"2007-07-08","11",,
Austria,"2015-07-12","568",,
France,"2004-11-21","62",,
Chile,"2011-01-23","1",,
Poland,"2008-01-27","98",,
Belgium,"2007-05-20","38",,
New Zealand,"2012-09-30","42",,
Germany,"2012-06-17","381",,
Netherlands,"2004-02-01","20",,
Romania,"2008-04-20","690",,
Chile,"2014-11-02","7",,
Australia,"2014-04-13","271",,
Austria,"2007-05-06","544",,
Netherlands,"2015-05-24","16",,
Argentina,"2009-04-12","129","0.788",
Spain,"2011-02-13","40",,
Japan,"2006-11-12","29",,
Hungary,"2006-03-12","131",,
Netherlands,"2008-08-24","20",,
Australia,"2005-06-26",NA,,
United States,"2012-09-23","1895",,
Belgium,"2013-12-29","107",,
Romania,"2011-04-10","679",,
Austria,"2006-06-04","539",,
Chile,"2006-05-14","6",,
Hungary,"2004-04-25",NA,,
Switzerland,"2003-03-09",NA,,
Paraguay,"2006-08-20","420",,
Peru,"2004-11-28","360",,
Bulgaria,"2006-10-22","897",,
Norway,"2007-07-15","9",,
United States,"2014-01-12","4486",,
Brazil,"2004-02-01","146","0.069",
Germany,"2013-11-17","772",,
Norway,"2011-10-09","52",,
Peru,"2013-12-01","121",,
Mexico,"2012-05-27","791","0.09",
Sweden,"2009-08-23","8",,
Norway,"2007-09-23","23",,
United States,"2010-09-26","1335",,
Romania,"2011-02-06","955",,
